,리뷰,메뉴
320,항상 주문할 때마다 배송도 빠르고 너무 맛있습니다~,허니콤보/1(세트 선택(웨지감자（세트）))
321,맛있게 잘 먹었네요~~,교촌오리지날/1(세트 선택(선택안함))
322,교촌 치킨 맛 하나는 정말 좋습니다. 양이 조금 아쉬웠습니다.,교촌오리지날/1(세트 선택(선택안함))
323,연말이라 주문해서 맛있게 잘 먹었습니다 새해 복 많이 받으새요,허니오리지날/1(세트 선택(웨지감자（세트）))
324,Gooooooood,레드윙/1(세트 선택(선택안함))
325,맛있써용~~~!! 배달도 재시간에 딱 적당하고 잘먹었습니다!,"반반오리지날/1(세트 선택(선택안함)),허니머스타드소스/1"
326,배달빠르고 맛있어요,허니콤보/1(세트 선택(선택안함))
327,꿀맛뀰먹 햇반에 먹었어요 레드윙,레드윙/1(세트 선택(선택안함))
328,배달도 빠른편이라 항상 잘먹고 있어요:),허니콤보/1(세트 선택(선택안함))
329,레드윙이 진리 제일 맛나요,레드윙/1(세트 선택(웨지감자（세트）))
330,거의 1주일에 한번은 먹는것 같습니다. 아이들이 엄청 좋아해요~~~~^^,교촌오리지날/1(세트 선택(선택안함))
331,항상 여기 교촌치킨만 먹습니다~,교촌오리지날/1(세트 선택(선택안함))
332,Gooooooood,레드윙/1(세트 선택(교촌샐러드（세트）))
333,이번엔 조금짜네요 그래도 맛있게 잘먹음,허니콤보/1(세트 선택(선택안함))
334,조금만 덜 짰으면 좋겠어요 맛있는데 갅이좀 쌔서 입안이 얼얼,레드윙/1(세트 선택(선택안함))
335,따뜻하게 잘 먹었습니다~,교촌윙/1(세트 선택(웨지감자（세트）))
336,양도 많고맛있었어요...,교촌윙/1(세트 선택(선택안함))
