,리뷰,메뉴
152,역시 임실 맛있었어요^^,"핫치킨 피자 L/1,콜라 1.25L/1"
153,맛있었어요. 야식으로 딱 좋더군요,슈퍼슈프림 피자 M/1
154,맛있게 잘 먹었습니다.,"슈퍼슈프림 피자 L/1,숯불갈비 피자 L/1,콜라 1.25L/1"
155,맛났어요 감사합니다,"슈퍼슈프림 피자 L/1(L사이즈 추가선택(치즈크러스트 추가,골드추가))"
156,정말너무너무맛있네요,"슈퍼슈프림 피자 M/1(M사이즈 추가선택(치즈크러스트 추가)),버팔로윙 10개/1,콜라 1.25L/1"
157,자극적이지않은 맛에 풍부한 치즈 굳~,"슈퍼슈프림 피자 L/1,콜라 1.25L/1"
158,사진못 찍었어요ㅜ 엄청 맛있었요 기대안했었는데 다음에도 주문 할거에요!,"스위트고구마 피자 M/1(M사이즈 추가선택(치즈크러스트 추가,치즈추가))"
159,Cheap and good,불닭 피자 L/1
160,배달도빠르고 너무맛있어요 강추,SET1（명품오리지널피자 L＋치즈스틱 5개＋버팔로윙 5개＋콜라 1.25L）/1(SET메뉴 피자선택(슈퍼슈프림피자L))
161,맛있었어요! 4명이서 먹었는데 양도 좋았고요,슈퍼슈프림 피자 L/1
162,아이 생일이라 주문했어요.너무 맛있어서 자주 시켜 먹을께요.도우도.토핑도.치즈도 짱맛있어요,"SET2（명품오리지널피자 L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(포테이토피자L),추가 선택(버팔로윙5개))"
163,맛있습니다 잘먹었어요,핫치킨 피자 L/1
